original,updated/copied,status,notes,grammar_issue_flag
,,,,
"And so, really, tonight's conversation about making life work is what  we're doing to create a fair system that looks out for everyone and  that looks out for people who are making minimum wage so that they  won't be making minimum wage for long.","And so, really, tonight's conversation about making life work is what we're doing to create a fair system that looks out for everyone and that looks out for people who are making minimum wage so that they won't be making minimum wage for long.",done,,
,,,,
We have spoke about troops.,We have spoke about troops.,review,"""spoken""",1
,,,,
We cannot afford to betray our own principles  and severely undercut our allies in Europe and Canada.,We cannot afford to betray our own principles and severely undercut our allies in Europe and Canada.,done,,
,,,,
" on September 11 of this year, four  Americans, including our United States ambassador, were killed in an  attack at the Benghazi consulate."," on September 11 of this year, four Americans, including our United States ambassador, were killed in an attack at the Benghazi consulate.",done,,
,,,,
"Obviously, it was presented as: it's possibly, possibly, maybe a  future problem for American oil companies if the Mexicans change their  law.","Obviously, it was presented as, ""it's possibly, possibly, maybe a future problem for American oil companies if the Mexicans change their law.""",done,,
,,,,
"This amendment also cuts funding for our veterans by $200 million,  potentially endangering the quality of their care and making a  statement that Congress is willing to go back on commitments to our  vets.","This amendment also cuts funding for our veterans by $200 million, potentially endangering the quality of their care and making a statement that Congress is willing to go back on commitments to our vets.",done,,
